	pmid	refid1	refid2	reltype	concept_pair	user_count	evtype	relation_count	test_completions	true_responses	response_ratio	refid1_type	refid2_type	broad_rel	cp_broken	no_rel	spec_rel	total_pmids
478	18628786	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	3.0	0.0	33.0	36.0
424	17911039	8086	C536008	g_d	8086_x_C536008	15	c_2_broken	7	0.0	15	0.4666666666666667	g	d	0.0	3.0	0.0	33.0	36.0
755	22538409	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	3.0	0.0	33.0	36.0
511	19172511	8086	C536008	g_d	8086_x_C536008	21	gene mutation is/may be associated with disease	19	1.0	20	0.95	g	d	0.0	3.0	0.0	33.0	36.0
822	23327820	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	1.0	14	0.5714285714285714	g	d	0.0	0.0	0.0	32.0	32.0
228	12548737	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	1.0	14	0.5714285714285714	g	d	0.0	0.0	0.0	32.0	32.0
491	19078797	8086	C536009	g_d	8086_x_C536009	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	0.0	0.0	0.0	32.0	32.0
439	18172684	8086	C536009	g_d	8086_x_C536009	16	gene mutation is/may be associated with disease	10	0.0	16	0.625	g	d	0.0	0.0	0.0	32.0	32.0
274	14646395	8086	C536009	g_d	8086_x_C536009	24	gene mutation is/may be associated with disease	21	1.0	23	0.9130434782608696	g	d	0.0	0.0	0.0	32.0	32.0
549	20051279	8086	C536009	g_d	8086_x_C536009	16	gene mutation is/may be associated with disease	7	1.0	15	0.4666666666666667	g	d	0.0	0.0	0.0	32.0	32.0
372	16970037	8086	C536009	g_d	8086_x_C536009	25	gene mutation is/may be associated with disease	17	1.0	24	0.7083333333333334	g	d	0.0	0.0	0.0	32.0	32.0
221	12530689	8086	C536009	g_d	8086_x_C536009	20	gene mutation is/may be associated with disease	19	0.0	20	0.95	g	d	0.0	0.0	0.0	32.0	32.0
203	12429595	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
512	19172511	8086	C536009	g_d	8086_x_C536009	21	gene mutation is/may be associated with disease	19	0.0	21	0.9047619047619048	g	d	0.0	0.0	0.0	32.0	32.0
855	23861206	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	0.0	0.0	32.0	32.0
418	17880786	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
566	20200814	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
661	21626165	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d	0.0	0.0	0.0	32.0	32.0
342	16609705	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d	0.0	0.0	0.0	32.0	32.0
960	25781531	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d	0.0	0.0	0.0	32.0	32.0
650	21565631	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	32.0	32.0
698	21744492	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	1.0	14	0.5714285714285714	g	d	0.0	0.0	0.0	32.0	32.0
665	21656342	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
168	11914417	8086	C536009	g_d	8086_x_C536009	22	gene mutation is/may be associated with disease	20	0.0	22	0.9090909090909092	g	d	0.0	0.0	0.0	32.0	32.0
775	22584989	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d	0.0	0.0	0.0	32.0	32.0
718	22000320	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
444	18175081	8086	C536009	g_d	8086_x_C536009	17	gene mutation is/may be associated with disease	11	0.0	17	0.6470588235294118	g	d	0.0	0.0	0.0	32.0	32.0
425	17911039	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d	0.0	0.0	0.0	32.0	32.0
608	20931227	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
802	23056690	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
594	20499090	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d	0.0	0.0	0.0	32.0	32.0
317	16264411	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
470	18615337	8086	C536009	g_d	8086_x_C536009	18	gene mutation is/may be associated with disease	15	0.0	18	0.8333333333333334	g	d	0.0	0.0	0.0	32.0	32.0
756	22538409	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	32.0	32.0
680	21686524	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d	0.0	0.0	0.0	32.0	32.0
307	16098009	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	32.0	32.0
363	16938764	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
247	12717251	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	0.0	0.0	0.0	30.0	30.0
375	16970037	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	0.0	0.0	30.0	30.0
481	18628786	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	0.0	0.0	30.0	30.0
807	23056690	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
765	22538409	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
345	16609705	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d	0.0	0.0	0.0	30.0	30.0
826	23327820	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	0.0	0.0	30.0	30.0
450	18175081	8086	D004931	g_d	8086_x_D004931	17	gene mutation is/may be associated with disease	13	0.0	17	0.7647058823529411	g	d	0.0	0.0	0.0	30.0	30.0
322	16264411	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	0.0	0.0	30.0	30.0
310	16098009	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	0.0	0.0	30.0	30.0
683	21686524	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	30.0	30.0
474	18615337	8086	D004931	g_d	8086_x_D004931	18	gene mutation is/may be associated with disease	16	0.0	18	0.8888888888888888	g	d	0.0	0.0	0.0	30.0	30.0
210	12429595	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d	0.0	0.0	0.0	30.0	30.0
232	12548737	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d	0.0	0.0	0.0	30.0	30.0
428	17911039	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	30.0	30.0
673	21656342	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
421	17880786	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
962	25781531	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
653	21565631	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	30.0	30.0
703	21744492	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d	0.0	0.0	0.0	30.0	30.0
596	20499090	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
569	20200814	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
862	23861206	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	0.0	0.0	30.0	30.0
172	11914417	8086	D004931	g_d	8086_x_D004931	21	gene mutation is/may be associated with disease	20	0.0	21	0.9523809523809524	g	d	0.0	0.0	0.0	30.0	30.0
723	22000320	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	30.0	30.0
778	22584989	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d	0.0	0.0	0.0	30.0	30.0
224	12530689	8086	D004931	g_d	8086_x_D004931	20	gene mutation is/may be associated with disease	19	0.0	20	0.95	g	d	0.0	0.0	0.0	30.0	30.0
515	19172511	8086	D004931	g_d	8086_x_D004931	21	gene mutation is/may be associated with disease	19	1.0	20	0.95	g	d	0.0	0.0	0.0	30.0	30.0
495	19078797	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	30.0	30.0
480	18628786	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d	0.0	0.0	0.0	27.0	27.0
493	19078797	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
652	21565631	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	11	1.0	14	0.7857142857142857	g	d	0.0	0.0	0.0	27.0	27.0
344	16609705	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d	0.0	0.0	0.0	27.0	27.0
961	25781531	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
374	16970037	8086	D000309	g_d	8086_x_D000309	25	gene mutation is/may be associated with disease	20	1.0	24	0.8333333333333334	g	d	0.0	0.0	0.0	27.0	27.0
804	23056690	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
447	18175081	8086	D000309	g_d	8086_x_D000309	17	gene mutation is/may be associated with disease	13	0.0	17	0.7647058823529411	g	d	0.0	0.0	0.0	27.0	27.0
611	20931227	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	27.0	27.0
668	21656342	8086	D000309	g_d	8086_x_D000309	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	0.0	0.0	27.0	27.0
222	12530689	8086	D000309	g_d	8086_x_D000309	20	gene mutation is/may be associated with disease	18	0.0	20	0.9	g	d	0.0	0.0	0.0	27.0	27.0
595	20499090	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
473	18615337	8086	D000309	g_d	8086_x_D000309	18	gene mutation is/may be associated with disease	14	0.0	18	0.7777777777777778	g	d	0.0	0.0	0.0	27.0	27.0
360	16938764	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
420	17880786	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	27.0	27.0
230	12548737	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	27.0	27.0
309	16098009	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	0.0	0.0	0.0	27.0	27.0
859	23861206	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	0.0	0.0	0.0	27.0	27.0
777	22584989	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d	0.0	0.0	0.0	27.0	27.0
440	18172684	8086	D000309	g_d	8086_x_D000309	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d	0.0	0.0	0.0	27.0	27.0
170	11914417	8086	D000309	g_d	8086_x_D000309	22	gene mutation is/may be associated with disease	19	0.0	22	0.8636363636363636	g	d	0.0	0.0	0.0	27.0	27.0
427	17911039	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d	0.0	0.0	0.0	27.0	27.0
551	20051279	8086	D000309	g_d	8086_x_D000309	16	gene mutation is/may be associated with disease	12	1.0	15	0.8	g	d	0.0	0.0	0.0	27.0	27.0
275	14646395	8086	D000309	g_d	8086_x_D000309	24	gene mutation is/may be associated with disease	19	1.0	23	0.8260869565217391	g	d	0.0	0.0	0.0	27.0	27.0
761	22538409	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	0.0	0.0	27.0	27.0
205	12429595	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
568	20200814	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	0.0	0.0	27.0	27.0
803	23056690	8086	C562827	g_d	8086_x_C562827	18	gene mutation is/may be associated with disease	17	0.0	18	0.9444444444444444	g	d	1.0	0.0	0.0	23.0	24.0
426	17911039	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	1.0	0.0	0.0	23.0	24.0
373	16970037	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d	1.0	0.0	0.0	23.0	24.0
776	22584989	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d	1.0	0.0	0.0	23.0	24.0
681	21686524	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	1.0	0.0	0.0	23.0	24.0
358	16938764	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	1.0	0.0	0.0	23.0	24.0
513	19172511	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d	1.0	0.0	0.0	23.0	24.0
667	21656342	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d	1.0	0.0	0.0	23.0	24.0
651	21565631	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	1.0	0.0	0.0	23.0	24.0
699	21744492	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d	1.0	0.0	0.0	23.0	24.0
610	20931227	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	1.0	0.0	0.0	23.0	24.0
720	22000320	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d	1.0	0.0	0.0	23.0	24.0
858	23861206	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	7	0.0	15	0.4666666666666667	g	d	1.0	0.0	0.0	23.0	24.0
169	11914417	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	1.0	0.0	0.0	23.0	24.0
445	18175081	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	12	1.0	15	0.8	g	d	1.0	0.0	0.0	23.0	24.0
204	12429595	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	1.0	0.0	0.0	23.0	24.0
246	12717251	8086	C562827	g_d	8086_x_C562827	15	gene relates to disease	7	0.0	15	0.4666666666666667	g	d	1.0	0.0	0.0	23.0	24.0
759	22538409	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	1.0	0.0	0.0	23.0	24.0
479	18628786	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	1.0	0.0	0.0	23.0	24.0
823	23327820	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	1.0	0.0	0.0	23.0	24.0
471	18615337	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d	1.0	0.0	0.0	23.0	24.0
308	16098009	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	1.0	0.0	0.0	23.0	24.0
318	16264411	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d	1.0	0.0	0.0	23.0	24.0
229	12548737	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d	1.0	0.0	0.0	23.0	24.0
517	19172511	8086	D009422	g_d	8086_x_D009422	21	gene mutation is/may be associated with disease	18	0.0	21	0.8571428571428571	g	d	0.0	1.0	0.0	16.0	17.0
726	22000320	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d	0.0	1.0	0.0	16.0	17.0
553	20051279	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d	0.0	1.0	0.0	16.0	17.0
482	18628786	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d	0.0	1.0	0.0	16.0	17.0
570	20200814	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	14	0.0	16	0.875	g	d	0.0	1.0	0.0	16.0	17.0
618	20931227	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d	0.0	1.0	0.0	16.0	17.0
769	22538409	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d	0.0	1.0	0.0	16.0	17.0
675	21656342	8086	D009422	g_d	8086_x_D009422	15	c_2_broken	13	0.0	15	0.8666666666666667	g	d	0.0	1.0	0.0	16.0	17.0
451	18175081	8086	D009422	g_d	8086_x_D009422	17	gene mutation is/may be associated with disease	11	0.0	17	0.6470588235294118	g	d	0.0	1.0	0.0	16.0	17.0
211	12429595	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	1.0	0.0	16.0	17.0
963	25781531	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	14	0.0	16	0.875	g	d	0.0	1.0	0.0	16.0	17.0
809	23056690	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	13	0.0	16	0.8125	g	d	0.0	1.0	0.0	16.0	17.0
312	16098009	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d	0.0	1.0	0.0	16.0	17.0
174	11914417	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d	0.0	1.0	0.0	16.0	17.0
378	16970037	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d	0.0	1.0	0.0	16.0	17.0
365	16938764	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d	0.0	1.0	0.0	16.0	17.0
323	16264411	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	14	1.0	15	0.9333333333333332	g	d	0.0	1.0	0.0	16.0	17.0
544	20051279	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d	12.0	1.0	1.0	2.0	16.0
252	12793312	5443	C536008	g_d	5443_x_C536008	17	gene relates to disease	9	1.0	16	0.5625	g	d	12.0	1.0	1.0	2.0	16.0
214	12530689	5443	C536008	g_d	5443_x_C536008	20	gene relates to disease	13	0.0	20	0.65	g	d	12.0	1.0	1.0	2.0	16.0
415	17880786	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d	12.0	1.0	1.0	2.0	16.0
