	pmid	refid1	refid2	reltype	concept_pair	user_count	evtype	relation_count	test_completions	true_responses	response_ratio	refid1_type	refid2_type
71	2510719	C065795	D000544	c_d	C065795_x_D000544	15	c_1_broken	12	0.0	15	0.8	c	d
74	2510719	C544092	D000544	c_d	C544092_x_D000544	16	c_1_broken	13	0.0	16	0.8125	c	d
81	2854735	D006632	223900	c_d	D006632_x_223900	18	drug relates to disease	7	1.0	17	0.4117647058823529	c	d
84	2854735	D006632	C536009	c_d	D006632_x_C536009	17	drug has no relation to disease	10	0.0	17	0.5882352941176471	c	d
87	2854735	D006632	D003680	c_d	D006632_x_D003680	15	drug has no relation to disease	7	0.0	15	0.4666666666666667	c	d
91	2854735	D006632	D005334	c_d	D006632_x_D005334	15	drug has no relation to disease	7	0.0	15	0.4666666666666667	c	d
94	2854735	D006632	D007239	c_d	D006632_x_D007239	15	drug has no relation to disease	10	0.0	15	0.6666666666666666	c	d
98	2854735	D006632	D009123	c_d	D006632_x_D009123	15	drug has no relation to disease	7	1.0	14	0.5	c	d
100	2854735	D016210	223900	c_d	D016210_x_223900	18	c_1_broken	8	0.0	18	0.4444444444444444	c	d
104	2854735	D016210	C536009	c_d	D016210_x_C536009	15	drug has no relation to disease	9	1.0	14	0.6428571428571429	c	d
106	2854735	D016210	D003680	c_d	D016210_x_D003680	15	drug has no relation to disease	11	1.0	14	0.7857142857142857	c	d
110	2854735	D016210	D005166	c_d	D016210_x_D005166	15	drug has no relation to disease	10	1.0	14	0.7142857142857143	c	d
113	2854735	D016210	D005334	c_d	D016210_x_D005334	15	drug has no relation to disease	10	1.0	14	0.7142857142857143	c	d
116	2854735	D016210	D007239	c_d	D016210_x_D007239	15	drug has no relation to disease	9	1.0	14	0.6428571428571429	c	d
119	2854735	D016210	D009123	c_d	D016210_x_D009123	15	drug has no relation to disease	8	0.0	15	0.5333333333333333	c	d
121	2854735	D016210	D017696	c_d	D016210_x_D017696	15	drug has no relation to disease	9	0.0	15	0.6	c	d
127	3014426	5443	C536008	g_d	5443_x_C536008	27	gene relates to disease	14	2.0	25	0.56	g	d
130	3014426	5443	D004931	g_d	5443_x_D004931	21	gene relates to disease	12	1.0	20	0.6	g	d
131	3305576	C012036	C564417	c_d	C012036_x_C564417	15	c_1_broken	12	0.0	15	0.8	c	d
134	3305576	C019358	C564417	c_d	C019358_x_C564417	15	c_1_broken	12	0.0	15	0.8	c	d
138	3305576	D006493	C564417	c_d	D006493_x_C564417	16	c_1_broken	10	0.0	16	0.625	c	d
142	3305576	D007531	C564417	c_d	D007531_x_C564417	15	c_1_broken	9	0.0	15	0.6	c	d
145	3305576	D013395	C564417	c_d	D013395_x_C564417	15	c_1_broken	12	0.0	15	0.8	c	d
149	3305576	D013481	C564417	c_d	D013481_x_C564417	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
154	3652558	353	202200	g_d	353_x_202200	16	c_1_broken	11	0.0	16	0.6875	g	d
160	3652558	353	D004941	g_d	353_x_D004941	15	c_1_broken	8	0.0	15	0.5333333333333333	g	d
165	3652558	D000242	D004941	c_d	D000242_x_D004941	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
170	4075537	5443	C562827	g_d	5443_x_C562827	15	gene relates to disease	8	0.0	15	0.5333333333333333	g	d
175	4075537	5443	C564577	g_d	5443_x_C564577	15	gene relates to disease	4	0.0	15	0.26666666666666666	g	d
176	4075537	5443	D004194	g_d	5443_x_D004194	16	c_1_broken	7	0.0	16	0.4375	g	d
186	4075537	5443	D004931	g_d	5443_x_D004931	15	gene relates to disease	8	0.0	15	0.5333333333333333	g	d
187	4075537	5443	D004938	g_d	5443_x_D004938	15	c_2_broken	11	0.0	15	0.7333333333333333	g	d
190	4075537	5443	D009410	g_d	5443_x_D009410	15	c_1_broken	5	0.0	15	0.3333333333333333	g	d
199	4075537	5443	D051437	g_d	5443_x_D051437	15	gene relates to disease	6	0.0	15	0.4	g	d
204	4075537	5443	D056587	g_d	5443_x_D056587	15	gene relates to disease	5	1.0	14	0.35714285714285715	g	d
205	7496135	C013059	D018981	c_d	C013059_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
207	7496135	D007501	D000437	c_d	D007501_x_D000437	15	c_1_broken	12	0.0	15	0.8	c	d
210	7831797	D005047	D007239	c_d	D005047_x_D007239	15	c_1_broken	12	0.0	15	0.8	c	d
216	7945119	5443	C536008	g_d	5443_x_C536008	28	gene relates to disease	18	3.0	25	0.72	g	d
219	7945119	5443	C536009	g_d	5443_x_C536009	27	gene relates to disease	16	3.0	24	0.6666666666666666	g	d
224	7945119	5443	D004931	g_d	5443_x_D004931	36	gene relates to disease	13	2.0	34	0.38235294117647056	g	d
225	8006362	C031345	D000326	c_d	C031345_x_D000326	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
227	8006362	D005227	D000326	c_d	D005227_x_D000326	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
229	8006362	D010831	D000326	c_d	D010831_x_D000326	15	c_1_broken	12	0.0	15	0.8	c	d
232	8046350	C541943	D001168	c_d	C541943_x_D001168	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
234	8046350	D002241	D001168	c_d	D002241_x_D001168	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
236	8253654	5443	202200	g_d	5443_x_202200	16	c_1_broken	6	0.0	16	0.375	g	d
245	8253654	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	6	0.0	15	0.4	g	d
250	8253654	5443	C536009	g_d	5443_x_C536009	15	gene relates to disease	6	0.0	15	0.4	g	d
251	8333772	7974	202200	g_d	7974_x_202200	15	c_1_broken	13	0.0	15	0.8666666666666667	g	d
254	8740696	D019793	C536009	c_d	D019793_x_C536009	15	c_1_broken	5	0.0	15	0.3333333333333333	c	d
258	8740696	D019793	C562827	c_d	D019793_x_C562827	15	c_1_broken	6	0.0	15	0.4	c	d
261	8740696	D019793	C566307	c_d	D019793_x_C566307	15	c_1_broken	7	0.0	15	0.4666666666666667	c	d
266	8740696	D019793	D007634	c_d	D019793_x_D007634	18	c_1_broken	11	0.0	18	0.6111111111111112	c	d
269	8743578	C069126	C535752	c_d	C069126_x_C535752	15	c_1_broken	12	0.0	15	0.8	c	d
273	8743578	C116406	C535752	c_d	C116406_x_C535752	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
275	8743578	D002241	C535752	c_d	D002241_x_C535752	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
278	8812498	D002241	C535752	c_d	D002241_x_C535752	15	c_1_broken	12	0.0	15	0.8	c	d
282	8924656	7974	202200	g_d	7974_x_202200	15	c_1_broken	14	1.0	14	1.0	g	d
283	8981095	C057651	C535752	c_d	C057651_x_C535752	16	c_1_broken	14	0.0	16	0.875	c	d
285	8981095	C103998	C535752	c_d	C103998_x_C535752	15	c_1_broken	12	0.0	15	0.8	c	d
288	8981095	D002241	C535752	c_d	D002241_x_C535752	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
291	8981095	D009844	C535752	c_d	D009844_x_C535752	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
293	9579803	C000458	C535752	c_d	C000458_x_C535752	15	c_1_broken	15	0.0	15	1.0	c	d
294	9579803	C057651	C535752	c_d	C057651_x_C535752	15	c_1_broken	15	0.0	15	1.0	c	d
295	9621534	59330	C536008	g_d	59330_x_C536008	15	c_1_broken	8	0.0	15	0.5333333333333333	g	d
299	9621534	59330	C536009	g_d	59330_x_C536009	15	gene has no relation to disease	8	1.0	14	0.5714285714285714	g	d
304	9621534	59330	D001750	g_d	59330_x_D001750	49	gene has no relation to disease	28	0.0	49	0.5714285714285714	g	d
308	9621534	59330	D004931	g_d	59330_x_D004931	15	gene has no relation to disease	5	1.0	14	0.35714285714285715	g	d
310	9621534	59330	D005764	g_d	59330_x_D005764	33	c_1_broken	17	1.0	32	0.53125	g	d
315	9621534	59330	D014839	g_d	59330_x_D014839	15	c_1_broken	7	0.0	15	0.4666666666666667	g	d
326	9710235	C032103	D001172	c_d	C032103_x_D001172	15	c_1_broken	12	0.0	15	0.8	c	d
332	10068747	5443	C536008	g_d	5443_x_C536008	15	gene has no relation to disease	6	0.0	15	0.4	g	d
335	10068747	5443	C536009	g_d	5443_x_C536009	15	gene has no relation to disease	12	0.0	15	0.8	g	d
342	10068747	5443	D000309	g_d	5443_x_D000309	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d
345	10068747	5443	D001037	g_d	5443_x_D001037	19	gene has no relation to disease	14	0.0	19	0.7368421052631579	g	d
348	10068747	5443	D003680	g_d	5443_x_D003680	15	gene has no relation to disease	14	0.0	15	0.9333333333333332	g	d
351	10068747	5443	D003929	g_d	5443_x_D003929	16	gene has no relation to disease	14	0.0	16	0.875	g	d
353	10068747	5443	D004931	g_d	5443_x_D004931	15	c_2_broken	7	0.0	15	0.4666666666666667	g	d
356	10068747	5443	D009461	g_d	5443_x_D009461	15	gene has no relation to disease	13	0.0	15	0.8666666666666667	g	d
359	10068747	5443	D020361	g_d	5443_x_D020361	15	gene has no relation to disease	13	0.0	15	0.8666666666666667	g	d
361	10068747	5443	D035583	g_d	5443_x_D035583	22	c_2_broken	10	0.0	22	0.4545454545454545	g	d
364	10386614	D002241	C566000	c_d	D002241_x_C566000	15	c_1_broken	12	1.0	14	0.8571428571428571	c	d
367	10420116	D002784	D002386	c_d	D002784_x_D002386	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
370	10420116	D004376	D002386	c_d	D004376_x_D002386	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
373	10420116	D005690	D002386	c_d	D005690_x_D002386	15	c_1_broken	9	0.0	15	0.6	c	d
376	10420116	D005978	D002386	c_d	D005978_x_D002386	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
379	10420116	D010545	D002386	c_d	D010545_x_D002386	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
382	10420116	D014810	D002386	c_d	D014810_x_D002386	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
384	10426592	D000450	C537197	c_d	D000450_x_C537197	17	c_1_broken	12	0.0	17	0.7058823529411765	c	d
388	10429369	D009711	D018981	c_d	D009711_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
391	10486078	D002241	D018981	c_d	D002241_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
394	10547038	D006021	C535744	c_d	D006021_x_C535744	15	c_1_broken	14	1.0	14	1.0	c	d
395	10602363	C091414	D018981	c_d	C091414_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
396	10602363	C493003	D018981	c_d	C493003_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
397	10602363	D002241	D018981	c_d	D002241_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
399	10602363	D010710	D018981	c_d	D010710_x_D018981	17	c_1_broken	15	0.0	17	0.8823529411764706	c	d
401	10714761	17996	D010182	c_d	17996_x_D010182	16	c_1_broken	10	0.0	16	0.625	c	d
403	10714761	28925	17996	g_c	28925_x_17996	19	c_1_broken	14	1.0	18	0.7777777777777778	g	c
407	10858229	C047902	D004403	c_d	C047902_x_D004403	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
410	10858229	C404789	D004403	c_d	C404789_x_D004403	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
413	10858229	C405262	D004403	c_d	C405262_x_D004403	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
416	10858229	D000596	D004403	c_d	D000596_x_D004403	15	c_1_broken	11	1.0	14	0.7857142857142857	c	d
419	10858229	D000954	D004403	c_d	D000954_x_D004403	15	c_1_broken	12	0.0	15	0.8	c	d
423	10858229	D009711	D004403	c_d	D009711_x_D004403	16	c_1_broken	14	0.0	16	0.875	c	d
426	10858229	D017261	D004403	c_d	D017261_x_D004403	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
428	10858229	D018396	D004403	c_d	D018396_x_D004403	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
431	11018092	D007854	D009369	c_d	D007854_x_D009369	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
434	11018092	D013256	D007249	c_d	D013256_x_D007249	15	c_1_broken	9	0.0	15	0.6	c	d
437	11058895	D000949	D018981	c_d	D000949_x_D018981	15	c_1_broken	12	1.0	14	0.8571428571428571	c	d
442	11084394	4158	202200	g_d	4158_x_202200	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
445	11084394	4158	C536008	g_d	4158_x_C536008	16	gene mutation is/may be associated with disease	8	0.0	16	0.5	g	d
448	11084394	4158	C536009	g_d	4158_x_C536009	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d
452	11084394	4158	D000309	g_d	4158_x_D000309	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
454	11084394	4158	D004931	g_d	4158_x_D004931	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d
457	11084394	5443	202200	g_d	5443_x_202200	15	gene mutation is/may be associated with disease	7	0.0	15	0.4666666666666667	g	d
463	11084394	5443	C536008	g_d	5443_x_C536008	15	gene mutation is/may be associated with disease	5	0.0	15	0.3333333333333333	g	d
469	11084394	5443	C536009	g_d	5443_x_C536009	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d
472	11084394	5443	D000309	g_d	5443_x_D000309	15	gene mutation is/may be associated with disease	7	0.0	15	0.4666666666666667	g	d
476	11084394	5443	D004931	g_d	5443_x_D004931	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d
478	11308015	D011134	D018981	c_d	D011134_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
481	11353896	4158	202200	g_d	4158_x_202200	30	gene mutation is/may be associated with disease	26	0.0	30	0.8666666666666667	g	d
486	11353896	4158	C536008	g_d	4158_x_C536008	29	gene mutation is/may be associated with disease	13	0.0	29	0.4482758620689655	g	d
488	11353896	4158	C536009	g_d	4158_x_C536009	29	gene has no relation to disease	14	1.0	28	0.5	g	d
492	11353896	4158	D004931	g_d	4158_x_D004931	29	gene has no relation to disease	14	1.0	28	0.5	g	d
495	11353896	4158	D009422	g_d	4158_x_D009422	29	gene has no relation to disease	13	1.0	28	0.4642857142857143	g	d
499	11353896	4158	D020022	g_d	4158_x_D020022	26	gene mutation is/may be associated with disease	21	0.0	26	0.8076923076923077	g	d
503	11353896	5443	202200	g_d	5443_x_202200	34	gene mutation is/may be associated with disease	18	1.0	33	0.5454545454545454	g	d
507	11353896	5443	C536008	g_d	5443_x_C536008	29	gene mutation is/may be associated with disease	15	0.0	29	0.5172413793103449	g	d
511	11353896	5443	C536009	g_d	5443_x_C536009	28	gene relates to disease	13	0.0	28	0.4642857142857143	g	d
515	11353896	5443	D004931	g_d	5443_x_D004931	28	gene relates to disease	13	0.0	28	0.4642857142857143	g	d
520	11353896	5443	D009422	g_d	5443_x_D009422	29	gene relates to disease	10	0.0	29	0.3448275862068966	g	d
525	11353896	5443	D020022	g_d	5443_x_D020022	32	gene relates to disease	12	0.0	32	0.375	g	d
526	11404002	D010710	D018981	c_d	D010710_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
529	11807674	D006854	C536008	c_d	D006854_x_C536008	18	drug (may) treat(s) disease	9	1.0	17	0.5294117647058824	c	d
533	11807674	D006854	C536009	c_d	D006854_x_C536009	18	drug has no relation to disease	12	2.0	16	0.75	c	d
536	11807674	D006854	C562827	c_d	D006854_x_C562827	17	drug has no relation to disease	9	0.0	17	0.5294117647058824	c	d
538	11807674	D006854	D000309	c_d	D006854_x_D000309	19	drug (may) treat(s) disease	11	2.0	17	0.6470588235294118	c	d
542	11807674	D006854	D004931	c_d	D006854_x_D004931	18	drug has no relation to disease	11	0.0	18	0.6111111111111112	c	d
545	11807674	D006854	D014839	c_d	D006854_x_D014839	15	drug has no relation to disease	13	0.0	15	0.8666666666666667	c	d
550	11836161	C012877	D000742	c_d	C012877_x_D000742	15	c_1_broken	12	0.0	15	0.8	c	d
554	11836161	C024032	D000742	c_d	C024032_x_D000742	15	c_1_broken	12	0.0	15	0.8	c	d
557	11836161	C025575	D000742	c_d	C025575_x_D000742	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
560	11836161	C036363	D000742	c_d	C036363_x_D000742	16	c_1_broken	13	0.0	16	0.8125	c	d
563	11836161	C056752	D000742	c_d	C056752_x_D000742	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
566	11836161	D002241	D000742	c_d	D002241_x_D000742	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
569	11836161	D002518	D000742	c_d	D002518_x_D000742	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
572	11836161	D006021	D000742	c_d	D006021_x_D000742	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
578	11914417	8086	C536008	g_d	8086_x_C536008	23	gene mutation is/may be associated with disease	22	1.0	22	1.0	g	d
580	11914417	8086	C536009	g_d	8086_x_C536009	22	gene mutation is/may be associated with disease	20	0.0	22	0.9090909090909092	g	d
581	11914417	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
584	11914417	8086	D000309	g_d	8086_x_D000309	22	gene mutation is/may be associated with disease	19	0.0	22	0.8636363636363636	g	d
586	11914417	8086	D001342	g_d	8086_x_D001342	21	c_2_broken	18	0.0	21	0.8571428571428571	g	d
590	11914417	8086	D004931	g_d	8086_x_D004931	21	gene mutation is/may be associated with disease	20	0.0	21	0.9523809523809524	g	d
591	11914417	8086	D009134	g_d	8086_x_D009134	21	gene mutation is/may be associated with disease	20	0.0	21	0.9523809523809524	g	d
593	11914417	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
596	11914417	8086	D009461	g_d	8086_x_D009461	21	gene mutation is/may be associated with disease	19	0.0	21	0.9047619047619048	g	d
600	11914417	8086	D025063	g_d	8086_x_D025063	21	gene mutation is/may be associated with disease	15	0.0	21	0.7142857142857143	g	d
602	11914417	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
604	11916319	D003981	D012640	c_d	D003981_x_D012640	15	drug (may) cause(s) disease	6	1.0	14	0.42857142857142855	c	d
613	11916319	D003981	D013927	c_d	D003981_x_D013927	15	drug has no relation to disease	7	0.0	15	0.4666666666666667	c	d
617	11916319	D003981	D018981	c_d	D003981_x_D018981	15	drug (may) treat(s) disease	8	0.0	15	0.5333333333333333	c	d
624	12070078	C026406	C567437	c_d	C026406_x_C567437	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
628	12070078	C050801	C567437	c_d	C050801_x_C567437	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
630	12070078	C087567	C567437	c_d	C087567_x_C567437	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
632	12070078	C120688	C567437	c_d	C120688_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
635	12070078	D009844	C567437	c_d	D009844_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
638	12070078	D010695	C567437	c_d	D010695_x_C567437	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
647	12150219	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	6	0.0	15	0.4	g	d
651	12150219	5443	D000309	g_d	5443_x_D000309	15	gene relates to disease	8	0.0	15	0.5333333333333333	g	d
654	12150219	5443	D004931	g_d	5443_x_D004931	15	gene relates to disease	8	0.0	15	0.5333333333333333	g	d
655	12150219	5443	D009422	g_d	5443_x_D009422	15	c_1_broken	6	0.0	15	0.4	g	d
665	12150219	5443	D025063	g_d	5443_x_D025063	15	gene relates to disease	7	0.0	15	0.4666666666666667	g	d
666	12164788	C112685	D003550	c_d	C112685_x_D003550	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
669	12164788	D000596	D003550	c_d	D000596_x_D003550	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
671	12164788	D002712	D003550	c_d	D002712_x_D003550	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
673	12164788	D005643	D003550	c_d	D005643_x_D003550	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
676	12164788	D009844	D003550	c_d	D009844_x_D003550	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
678	12185357	1896	D009422	g_d	1896_x_D009422	15	c_1_broken	10	0.0	15	0.6666666666666666	g	d
683	12413857	C047217	C567437	c_d	C047217_x_C567437	15	drug (may) treat(s) disease	7	0.0	15	0.4666666666666667	c	d
685	12413857	D000949	C567437	c_d	D000949_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
688	12413857	D010710	C567437	c_d	D010710_x_C567437	16	c_1_broken	11	0.0	16	0.6875	c	d
692	12429595	8086	607088	g_d	8086_x_607088	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
694	12429595	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
695	12429595	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
696	12429595	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
699	12429595	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
701	12429595	8086	D000310	g_d	8086_x_D000310	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
702	12429595	8086	D002869	g_d	8086_x_D002869	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
703	12429595	8086	D003389	g_d	8086_x_D003389	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
704	12429595	8086	D003929	g_d	8086_x_D003929	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
706	12429595	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
708	12429595	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
710	12429595	8086	D009461	g_d	8086_x_D009461	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
711	12429595	8086	D009896	g_d	8086_x_D009896	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
716	12530689	5443	C536008	g_d	5443_x_C536008	20	gene relates to disease	13	0.0	20	0.65	g	d
717	12530689	5443	C536009	g_d	5443_x_C536009	15	gene has no relation to disease	7	0.0	15	0.4666666666666667	g	d
723	12530689	5443	D000309	g_d	5443_x_D000309	16	gene relates to disease	9	0.0	16	0.5625	g	d
728	12530689	5443	D000310	g_d	5443_x_D000310	15	gene relates to disease	9	0.0	15	0.6	g	d
731	12530689	5443	D004931	g_d	5443_x_D004931	15	gene relates to disease	7	0.0	15	0.4666666666666667	g	d
734	12530689	5443	D025063	g_d	5443_x_D025063	15	gene relates to disease	10	0.0	15	0.6666666666666666	g	d
736	12530689	8086	C536008	g_d	8086_x_C536008	20	gene mutation is/may be associated with disease	19	0.0	20	0.95	g	d
738	12530689	8086	C536009	g_d	8086_x_C536009	20	gene mutation is/may be associated with disease	19	0.0	20	0.95	g	d
740	12530689	8086	D000309	g_d	8086_x_D000309	20	gene mutation is/may be associated with disease	18	0.0	20	0.9	g	d
742	12530689	8086	D000310	g_d	8086_x_D000310	20	gene mutation is/may be associated with disease	18	0.0	20	0.9	g	d
744	12530689	8086	D004931	g_d	8086_x_D004931	20	gene mutation is/may be associated with disease	19	0.0	20	0.95	g	d
745	12530689	8086	D006527	g_d	8086_x_D006527	20	c_2_broken	17	0.0	20	0.85	g	d
749	12530689	8086	D025063	g_d	8086_x_D025063	20	gene mutation is/may be associated with disease	15	0.0	20	0.75	g	d
751	12548737	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d
753	12548737	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	1.0	14	0.5714285714285714	g	d
755	12548737	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
758	12548737	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
761	12548737	8086	D002873	g_d	8086_x_D002873	15	gene mutation is/may be associated with disease	5	0.0	15	0.3333333333333333	g	d
766	12548737	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d
767	12548737	8086	D009386	g_d	8086_x_D009386	17	c_2_broken	8	0.0	17	0.4705882352941176	g	d
773	12548737	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
776	12548737	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
778	12717251	7345	C536008	g_d	7345_x_C536008	15	c_1_broken	7	0.0	15	0.4666666666666667	g	d
784	12717251	7345	C537394	g_d	7345_x_C537394	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d
787	12717251	7345	C562827	g_d	7345_x_C562827	15	gene relates to disease	10	0.0	15	0.6666666666666666	g	d
790	12717251	7345	D004931	g_d	7345_x_D004931	15	gene relates to disease	9	0.0	15	0.6	g	d
793	12717251	7345	D004938	g_d	7345_x_D004938	15	gene relates to disease	7	0.0	15	0.4666666666666667	g	d
