	SUBJECT_NAME	PREDICATE	OBJECT_NAME	PMID	SUBJECT_CUI	SUBJECT_SEMTYPE	OBJECT_CUI	OBJECT_SEMTYPE	PREDICATION_ID	SENTENCE_ID	SUBJECT_NOVELTY	OBJECT_NOVELTY
55	sural	AUGMENTS	T-Cell Proliferation	7831797	C0626053	phsu	C1155046	celf	19234741	33950596	1	1
56	Hyperlipoproteinemia	COEXISTS_WITH	Achalasia	1325164	C0020476	dsyn	C1321756	fndg	19967476	35131378	1	1
57	zone electrophoresis	USES	Neuraminidase	8981095	C0678634	lbpr	C0027803	aapp	21277408	37283458	1	1
58	Patients	LOCATION_OF	decorin	8743578	C0030705	humn	C0057252	aapp	21922047	38360164	0	1
59	Skin fibroblast	LOCATION_OF	decorin	8743578	C1272578	cell	C0057252	aapp	21922052	38360164	1	1
60	Tenascin	ISA	Cell Adhesion Molecules	8743578	C0076088	aapp	C0007578	aapp	21922214	38360354	1	1
61	Cell Adhesion Molecules	PART_OF	Extracellular Matrix Proteins	8743578	C0007578	bacs	C0079323	aapp	21922222	38360354	1	1
62	Fibronectins	PART_OF	Extracellular Matrix Proteins	8743578	C0016055	bacs	C0079323	aapp	21922228	38360354	1	1
63	Collagen Type I	PART_OF	Extracellular Matrix Proteins	8743578	C0041455	bacs	C0079323	aapp	21922240	38360354	1	1
64	Tendon structure	PART_OF	Cattle	8743578	C0039508	bpoc	C0007452	mamm	21922297	38360507	1	1
65	Tendon structure	LOCATION_OF	decorin	8743578	C0039508	bpoc	C0057252	aapp	21922306	38360507	1	1
66	decorin	DISRUPTS	Cell-Matrix Junction	8743578	C0057252	aapp	C0887869	celc	21922366	38360626	1	1
67	Fibroblasts	PART_OF	Patients	8743578	C0016030	cell	C0030705	humn	21922518	38360827	1	0
68	Fibroblasts	LOCATION_OF	Adhesions	8743578	C0016030	cell	C0001511	acab	21922521	38360827	1	1
69	decorin	CAUSES	Adhesions	8743578	C0057252	aapp	C0001511	acab	21922523	38360827	1	1
70	conjunctiva	PART_OF	Medulla Oblongata	1815166	C0009758	bpoc	C0025148	bpoc	22459969	39271871	1	1
71	Atopy	PROCESS_OF	member	1815166	C0392707	patf	C0680022	humn	22460122	39272183	1	1
72	Alacrima	PART_OF	Child	8740696	C0344505	cgab	C0008059	humn	22931797	40068321	1	1
73	Alacrima	PART_OF	Couples	8740696	C0344505	cgab	C0010222	humn	22931804	40068321	1	1
74	Couples	LOCATION_OF	Alacrima	8740696	C0010222	humn	C0344505	cgab	22931957	40068720	1	1
75	Dysfunction adrenal	COEXISTS_WITH	Achalasia	8333772	C0549609	dsyn	C1321756	fndg	24159746	42105405	1	1
76	Glucocorticoids	ASSOCIATED_WITH	Laceration	8333772	C0017710	horm	C0043246	inpo	24159951	42105502	1	1
77	Laceration	PROCESS_OF	Patients	8333772	C0043246	inpo	C0030705	humn	24159956	42105502	1	0
78	Achalasia	PROCESS_OF	Patients	8333772	C1321756	fndg	C0030705	humn	24159964	42105502	1	0
79	Glucocorticoids	PART_OF	Patients	8333772	C0017710	horm	C0030705	humn	24159969	42105502	1	0
80	Nervous system problem	COEXISTS_WITH	Hypotension, Orthostatic	8333772	C0221571	fndg	C0020651	fndg	24160029	42105885	1	1
81	Alacrima	ISA	Peripheral Neuropathy	8006362	C0344505	cgab	C0031117	dsyn	25327412	44014045	1	1
82	Adrenoleukodystrophy	COEXISTS_WITH	Adrenal gland hypofunction	8006362	C0162309	dsyn	C0001623	dsyn	25327432	44014138	1	1
83	Adrenomyeloneuropathy	COEXISTS_WITH	Adrenal gland hypofunction	8006362	C1527231	dsyn	C0001623	dsyn	25327439	44014138	1	1
84	Peripheral Neuropathy	PROCESS_OF	Adult	8006362	C0031117	dsyn	C0001675	humn	25327488	44014230	1	1
85	Adrenomyeloneuropathy	PROCESS_OF	Adult	8006362	C1527231	dsyn	C0001675	humn	25327490	44014230	1	1
86	Peripheral Neuropathy	PROCESS_OF	First cousin	8006362	C0031117	dsyn	C0337583	humn	25327539	44014276	1	1
87	Achalasia	PROCESS_OF	First cousin	8006362	C1321756	fndg	C0337583	humn	25327550	44014276	1	1
88	Adrenal gland hypofunction	PROCESS_OF	First cousin	8006362	C0001623	dsyn	C0337583	humn	25327561	44014276	1	1
89	Adrenoleukodystrophy	ISA	Adrenal gland hypofunction	8006362	C0162309	dsyn	C0001623	dsyn	25327687	44014485	1	1
90	Adrenoleukodystrophy	ISA	Peripheral Neuropathy	8006362	C0162309	dsyn	C0031117	dsyn	25327695	44014485	1	1
91	Syndrome	COEXISTS_WITH	Failure to Thrive	7945119	C0039082	dsyn	C0015544	dsyn	25918061	44982792	0	1
92	Barium swallow	AFFECTS	Diagnosis	7945119	C0203065	diap	C0011900	hlca	25918081	44982836	1	1
93	Achalasia	COEXISTS_WITH	Syndrome	12793312	C1321756	fndg	C0039082	dsyn	26432085	45814226	1	0
94	Receptors, Corticotropin	CAUSES	UNRESPONSIVENESS	11084394	C0056371	gngm	C0241526	fndg	26512238	45946355	1	1
95	Genes	CAUSES	UNRESPONSIVENESS	11084394	C0017337	gngm	C0241526	fndg	26512404	45946622	1	1
96	Esophageal achalasia	PROCESS_OF	Child	9621534	C0014848	dsyn	C0008059	humn	26707431	46277360	1	1
97	Oesophagocardiomyotomy	TREATS	Child	9621534	C0948736	topp	C0008059	aggp	26707581	46277591	1	1
98	Fundoplication	COEXISTS_WITH	Oesophagocardiomyotomy	9621534	C0192499	topp	C0948736	topp	26707648	46277697	1	1
99	Achalasia	PROCESS_OF	Infant	9621534	C1321756	fndg	C0021270	humn	26707696	46277844	1	1
100	Bladder, Neurogenic	PROCESS_OF	Infant	9621534	C0005697	dsyn	C0021270	humn	26707717	46277891	1	1
101	Liver	PART_OF	Family suidae	12413857	C0023884	bpoc	C0039005	mamm	26912572	46616158	1	1
102	Liver	LOCATION_OF	ESTERASE	12413857	C0023884	bpoc	C0014894	aapp	26912577	46616158	1	1
103	Cataract	PROCESS_OF	Rattus norvegicus	10420116	C0086543	dsyn	C0034693	mamm	27351762	47357142	1	1
104	Cataract	PROCESS_OF	Rattus norvegicus	10420116	C0086543	dsyn	C0034693	mamm	27351875	47357299	1	1
105	Stress	COEXISTS_WITH	Cataract	10420116	C0038435	fndg	C0086543	dsyn	27351879	47357299	1	1
106	Galactitol	PART_OF	Lens, Crystalline	10420116	C0013283	bacs	C0023317	bpoc	27352130	47357722	1	1
107	Reduced Glutathione	PART_OF	Lens, Crystalline	10420116	C0034917	aapp	C0023317	bpoc	27352138	47357722	1	1
108	Galactitol	COEXISTS_WITH	Reduced Glutathione	10420116	C0013283	bacs	C0034917	aapp	27352143	47357722	1	1
109	Lipid Peroxides	COEXISTS_WITH	Reduced Glutathione	10420116	C0023776	lipd	C0034917	aapp	27352145	47357722	1	1
110	Galactitol	PART_OF	Lens, Crystalline	10420116	C0013283	bacs	C0023317	bpoc	27352244	47357877	1	1
111	Lipid Peroxides	PART_OF	Lens, Crystalline	10420116	C0023776	lipd	C0023317	bpoc	27352250	47357877	1	1
112	Reduced Glutathione	PART_OF	Lens, Crystalline	10420116	C0034917	aapp	C0023317	bpoc	27352258	47357877	1	1
113	Lipid Peroxides	COEXISTS_WITH	Reduced Glutathione	10420116	C0023776	lipd	C0034917	aapp	27352268	47357877	1	1
114	Lens, Crystalline	LOCATION_OF	Water	10420116	C0023317	bpoc	C0043047	inch	27352330	47358060	1	1
115	Water	COEXISTS_WITH	lens protein	10420116	C0043047	inch	C0596827	aapp	27352340	47358060	1	1
116	Vitamin E	PART_OF	Lens, Crystalline	10420116	C0042874	lipd	C0023317	bpoc	27352451	47358171	1	1
117	Vitamin E	PART_OF	Lens, Crystalline	10420116	C0042874	lipd	C0023317	bpoc	27352763	47358597	1	1
118	Stress	PREDISPOSES	Cataract	10420116	C0038435	fndg	C0086543	dsyn	27352767	47358597	1	1
119	Glucocorticoid deficiency with achalasia	PROCESS_OF	Patients	10068747	C0271742	dsyn	C0030705	humn	27703978	47947973	1	0
120	Autonomic dysfunction	PROCESS_OF	Patients	10068747	C0741307	patf	C0030705	humn	27703985	47947973	1	0
121	endoscopy	DIAGNOSES	Achalasia	10068747	C0014245	diap	C1321756	fndg	27704375	47948652	1	1
122	Esophagram	DIAGNOSES	Achalasia	10068747	C1318509	diap	C1321756	fndg	27704388	47948652	1	1
123	Diagnosis	USES	Esophageal manometry	10068747	C0011900	hlca	C0199873	diap	27704400	47948652	1	1
124	Achalasia	PROCESS_OF	Child	10068747	C1321756	fndg	C0008059	humn	27704531	47948967	1	1
125	Glucocorticoid deficiency with achalasia	PROCESS_OF	Physicians	10068747	C0271742	dsyn	C0031831	humn	27704541	47948967	1	1
126	Enzymes	CAUSES	Carbohydrate-Deficient Glycoprotein Syndrome	10486078	C0014442	enzy	C0282577	dsyn	27820253	48145767	1	1
127	Chromosomal translocation	PROCESS_OF	Infant	10486078	C0040715	comd	C0021270	humn	27820316	48145893	1	1
128	metastatic qualifier	ISA	Etiology aspects	10486078	C1522484	qnco	C0015127	ftcn	27820353	48145995	1	1
129	Substitution therapy	USES	Hydrocortisone	11807674	C1535890	topp	C0020268	phsu	27852397	48200714	1	1
130	Achalasia	PROCESS_OF	Patients	11807674	C1321756	fndg	C0030705	humn	27852443	48200791	1	0
131	Molecular Chaperones	ASSOCIATED_WITH	Tumorigenesis	11018092	C0243041	aapp	C1326912	neop	28538367	49374551	1	1
132	Molecular Chaperones	ISA	Proteins	11018092	C0243041	aapp	C0033684	aapp	28538591	49374827	1	1
133	Molecular Chaperones	AFFECTS	Apoptosis	11018092	C0243041	aapp	C0162638	celf	28538725	49375079	1	1
134	caspase	AFFECTS	Chromosome replication	11018092	C0010656	aapp	C0175967	genf	28538889	49375186	1	1
135	Phosphotransferases	AFFECTS	Cellular Structures	11018092	C0031727	aapp	C0243092	celc	28538896	49375186	1	1
136	Molecular Chaperones	AFFECTS	Cell Growth	11018092	C0243041	aapp	C0007595	celf	28538901	49375186	1	1
137	Molecular Chaperones	AFFECTS	Cell Growth	11018092	C0243041	aapp	C0007595	celf	28538909	49375186	1	1
138	Osteoporosis	COEXISTS_WITH	Syndrome	10426592	C0029456	dsyn	C0039082	dsyn	28688305	49626621	1	0
139	Receptor abnormality	PREDISPOSES	Osteoporosis	10426592	C0445210	fndg	C0029456	dsyn	28688540	49626922	1	1
140	Achalasia	PREDISPOSES	Osteoporosis	10426592	C1321756	fndg	C0029456	dsyn	28688549	49626922	1	1
141	deceased	PROCESS_OF	Patients	11058895	C1549464	fndg	C0030705	humn	30499272	52723452	1	0
142	3' Untranslated Regions	PART_OF	Human gene	10429369	C0600600	bacs	C0314604	aapp	30503345	52730487	1	1
143	3' Untranslated Regions	PART_OF	PMM2 gene	10429369	C0600600	bacs	C1418674	aapp	30503382	52730552	1	1
144	Carbohydrate-Deficient Glycoprotein Syndrome	PROCESS_OF	Patients	10429369	C0282577	dsyn	C0030705	humn	30503513	52730757	1	0
145	Polymorphism, Genetic	PROCESS_OF	Patients	10429369	C0032529	genf	C0030705	humn	30503518	52730757	1	0
146	Electrophoresis	METHOD_OF	Cell Culture Techniques	12070078	C0013855	lbpr	C0007585	lbpr	30510649	52743294	1	1
147	Electrophoresis	METHOD_OF	Cell Culture Techniques	12070078	C0013855	lbpr	C0007585	lbpr	30511006	52743901	1	1
148	Body tissue	PART_OF	House mice	12070078	C0040300	tisu	C0025914	mamm	30511256	52744254	1	1
149	Electrophoresis	METHOD_OF	Chromatography, Gas-Liquid	12070078	C0013855	lbpr	C0008556	lbpr	30511267	52744254	1	1
150	Chromatography, Gas-Liquid	METHOD_OF	Cell Culture Techniques	12070078	C0008556	lbpr	C0007585	lbpr	30511375	52744410	1	1
151	Liver	PART_OF	House mice	12070078	C0023884	bpoc	C0025914	mamm	30511492	52744697	1	1
152	Clinical Research	USES	Biological Models	11308015	C0008972	resa	C0026339	resd	30571709	52847304	1	1
153	Adrenal gland hypofunction	COEXISTS_WITH	Dysautonomia, Familial	12185357	C0001623	dsyn	C0013364	cgab	30964276	53502855	1	1
154	Adrenal gland hypofunction	COEXISTS_WITH	Christ-Siemens-Touraine Syndrome	12185357	C0001623	dsyn	C0162359	cgab	30964286	53502855	1	1
155	nervous system disorder	COEXISTS_WITH	Christ-Siemens-Touraine Syndrome	12185357	C0027765	dsyn	C0162359	cgab	30964290	53502855	0	1
156	nervous system disorder	COEXISTS_WITH	Dysautonomia, Familial	12185357	C0027765	dsyn	C0013364	cgab	30964296	53502855	0	1
157	Glycophorin	PART_OF	Human	10547038	C0017954	aapp	C0020114	humn	31218072	53924921	1	1
158	Glycophorin	ASSOCIATED_WITH	Syndrome	10547038	C0017954	aapp	C0039082	dsyn	31218078	53924921	1	0
159	Glycophorin	PART_OF	Human	10547038	C0017954	aapp	C0020114	humn	31218175	53925029	1	1
160	Syndrome	PROCESS_OF	Patients	10547038	C0039082	dsyn	C0030705	humn	31218180	53925029	0	0
161	Sialoglycoproteins	PART_OF	Erythrocyte Membrane	10547038	C0037028	aapp	C0014780	celc	31218185	53925029	1	1
162	Erythrocytes	LOCATION_OF	Glycophorin	10547038	C0014792	cell	C0017954	aapp	31218196	53925029	1	1
163	Enzyme-Linked Immunosorbent Assay	ISA	Procedures	10547038	C0014441	lbpr	C0184661	hlca	31218327	53925290	1	1
164	Lectin	PART_OF	Glycophorin	10547038	C0023206	bacs	C0017954	aapp	31218333	53925290	1	1
165	Glycophorin	AFFECTS	Syndrome	10547038	C0017954	aapp	C0039082	dsyn	31218383	53925450	1	0
166	Phosphomannomutase	PART_OF	Patients	10602363	C0070886	aapp	C0030705	humn	31322014	54098979	1	0
167	DNA, Complementary	INTERACTS_WITH	Phosphomannomutase	10602363	C0006556	irda	C0070886	aapp	31322095	54099116	1	1
168	Adrenal gland hypofunction	COEXISTS_WITH	Rare Diseases	11914417	C0001623	dsyn	C0678236	dsyn	31768668	54851079	1	1
169	Cystic Fibrosis	PROCESS_OF	Mus	12164788	C0010674	dsyn	C0026809	mamm	31964016	55181040	1	1
170	Mucins	PART_OF	Intestines	12164788	C0026682	aapp	C0021853	bpoc	31964022	55181040	1	1
171	Mus	LOCATION_OF	Mucins	12164788	C0026809	mamm	C0026682	aapp	31964030	55181040	1	1
172	Intestines	LOCATION_OF	Cystic Fibrosis	12164788	C0021853	bpoc	C0010674	dsyn	31964088	55181188	1	1
173	Cystic Fibrosis	PROCESS_OF	Mus	12164788	C0010674	dsyn	C0026809	mamm	31964170	55181294	1	1
174	Mucins	COEXISTS_WITH	Guanidine Hydrochloride	12164788	C0026682	aapp	C0120447	bacs	31964184	55181294	1	1
175	Colon	PART_OF	Mus	12164788	C0009368	bpoc	C0026809	mamm	31964187	55181294	1	1
176	Cystic Fibrosis	PROCESS_OF	Mus	12164788	C0010674	dsyn	C0026809	mamm	31964322	55181513	1	1
177	Intestines, Small	LOCATION_OF	Mucins	12164788	C0021852	bpoc	C0026682	aapp	31964330	55181513	1	1
178	Intestines, Small	PART_OF	Mus	12164788	C0021852	bpoc	C0026809	mamm	31964334	55181513	1	1
179	Cystic Fibrosis	PROCESS_OF	Mus	12164788	C0010674	dsyn	C0026809	mamm	31964400	55181785	1	1
180	Colon	LOCATION_OF	Mucins	12164788	C0009368	bpoc	C0026682	aapp	31964411	55181785	1	1
181	Cystic Fibrosis	PROCESS_OF	Mus	12164788	C0010674	dsyn	C0026809	mamm	31964515	55181907	1	1
182	Fucose	PART_OF	Mus	12164788	C0016786	bacs	C0026809	mamm	31964522	55181907	1	1
183	Mucins	PART_OF	Intestines, Small	12164788	C0026682	aapp	C0021852	bpoc	31964530	55181907	1	1
184	Cystic Fibrosis	PROCESS_OF	Mus	12164788	C0010674	dsyn	C0026809	mamm	31964684	55182225	1	1
185	Blotting, Northern	USES	Probes	12164788	C0005861	mbrt	C0182400	medd	31964688	55182225	1	1
186	Fucosyltransferase	STIMULATES	RNA, Messenger	12164788	C0016790	enzy	C0035696	bacs	31964695	55182225	1	1
187	Intestines, Small	LOCATION_OF	RNA, Messenger	12164788	C0021852	bpoc	C0035696	bacs	31964704	55182225	1	1
188	Intestines, Small	PART_OF	Mus	12164788	C0021852	bpoc	C0026809	mamm	31964715	55182225	1	1
189	Fucosyltransferase	AUGMENTS	glycosylation	12164788	C0016790	enzy	C0017982	npop	31964728	55182225	1	1
190	Transcriptional Activation	AFFECTS	Cystic Fibrosis Transmembrane Conductance Regulator	12164788	C0162493	genf	C0056889	aapp	31964787	55182479	1	1
191	Ectopic Tissue	COEXISTS_WITH	Syndrome	12150219	C0008519	patf	C0039082	dsyn	33081292	57100573	1	0
192	Corticotropin	ASSOCIATED_WITH	Autosome Disorders	12150219	C0001655	aapp	C0870182	comd	33081403	57100632	1	1
193	Glucocorticoid deficiency with achalasia	COEXISTS_WITH	Syndrome	12150219	C0271742	dsyn	C0039082	dsyn	33081476	57100766	1	0
194	Vitelliform dystrophy	COEXISTS_WITH	Glucocorticoid deficiency with achalasia	12150219	C0339510	dsyn	C0271742	dsyn	33081531	57100894	1	1
195	Patients	LOCATION_OF	Ectopic kidney	12150219	C0030705	humn	C0238207	cgab	33081599	57100978	0	1
196	Achalasia	COEXISTS_WITH	Syndrome	12429595	C1321756	fndg	C0039082	dsyn	33271358	57424955	1	0
197	Achalasia	COEXISTS_WITH	Syndrome	12429595	C1321756	fndg	C0039082	dsyn	33271373	57424955	1	0
198	Mutation	PROCESS_OF	Family	12429595	C0026882	genf	C0015576	humn	33271635	57425475	1	1
199	Genes	CAUSES	Autonomic neuropathy	12429595	C0017337	gngm	C0259749	dsyn	33271981	57426093	1	1
200	Mucins	PART_OF	Intestines	16001505	C0026682	aapp	C0021853	bpoc	33427954	57696389	1	1
201	Mucins	AFFECTS	Allergic pneumonia	16001505	C0026682	aapp	C0002106	dsyn	33427959	57696389	1	1
202	Syndrome	PROCESS_OF	Patients	11353896	C0039082	dsyn	C0030705	humn	34458752	59479186	0	0
203	Genes	PART_OF	Chromosomes, Human, Pair 12	11353896	C0017337	gngm	C0008654	celc	34458864	59479361	1	1
204	Polymorphism, Genetic	PROCESS_OF	Cryptosporidium parvum	10858229	C0032529	genf	C0085319	invt	35162797	60718611	1	1
205	Cryptosporidium parvum	ISA	Parasites	10858229	C0085319	invt	C0030498	invt	35162854	60718742	1	1
206	Cryptosporidium parvum	CAUSES	Diarrheal disorder	10858229	C0085319	invt	C1290807	dsyn	35162862	60718742	1	1
207	Diarrheal disorder	PROCESS_OF	Animals	10858229	C1290807	dsyn	C0003062	anim	35162868	60718742	1	0
208	Diarrheal disorder	PROCESS_OF	Human	10858229	C1290807	dsyn	C0020114	humn	35162875	60718742	1	1
209	Immunotherapy	TREATS	Cryptosporidiosis	10858229	C0021083	topp	C0010418	dsyn	35162975	60718881	1	1
210	Chemotherapy-Oncologic Procedure	TREATS	Cryptosporidiosis	10858229	C0392920	topp	C0010418	dsyn	35162978	60718881	1	1
211	Erythrocyte Membrane	LOCATION_OF	Glycoconjugates	11836161	C0014780	celc	C0017906	carb	35411650	61159564	1	1
212	Erythrocyte Membrane	LOCATION_OF	Glycoconjugates	11836161	C0014780	celc	C0017906	carb	35411709	61159655	1	1
213	Erythrocyte Membrane	LOCATION_OF	Glycoconjugates	11836161	C0014780	celc	C0017906	carb	35411885	61159938	1	1
214	Erythrocyte Membrane	LOCATION_OF	Glycoconjugates	11836161	C0014780	celc	C0017906	carb	35412076	61160352	1	1
215	Erythrocyte Membrane	LOCATION_OF	paragloboside	11836161	C0014780	celc	C0070068	lipd	35412121	61160505	1	1
216	Erythrocyte Membrane	PART_OF	parent	11836161	C0014780	celc	C0030551	humn	35412123	61160505	1	1
217	Erythrocytes	LOCATION_OF	globotetraosylceramide	11836161	C0014792	cell	C0061337	aapp	35412148	61160572	1	1
218	Erythrocytes	LOCATION_OF	Glycoconjugates	11836161	C0014792	cell	C0017906	carb	35412231	61160712	1	1
219	Erythrocyte Membrane	LOCATION_OF	Glycoconjugates	11836161	C0014780	celc	C0017906	carb	35412398	61160995	1	1
220	Patients	USES	Type 2	9579803	C0030705	podg	C0441730	clas	36089863	62351179	0	1
221	fast protein liquid chromatography	METHOD_OF	immunoaffinity chromatography	9579803	C0599209	lbpr	C0596751	lbpr	36089943	62351337	1	1
222	Child	USES	Type 2	9579803	C0008059	aggp	C0441730	clas	36089949	62351337	1	1
223	Collagen Type II	AFFECTS	Arthritis, Collagen-Induced	9710235	C0009331	aapp	C0971858	emod	36975317	63890657	1	1
224	Collagen Type II	ADMINISTERED_TO	Mus	9710235	C0009331	bacs	C0026809	mamm	36975355	63890748	1	1
225	cell recognition	PROCESS_OF	Arthritis, Collagen-Induced	9710235	C0678836	celf	C0971858	emod	36975423	63890815	1	1
226	Symptoms	PROCESS_OF	Patients	11916319	C1457887	sosy	C0030705	humn	37046802	64010595	0	0
227	Therapeutic procedure	USES	Diazoxide	11916319	C0087111	topp	C0012022	phsu	37046855	64010723	0	1
228	hypoglycemia	PROCESS_OF	Infant	11916319	C0020615	dsyn	C0021270	humn	37046862	64010723	1	1
229	Water	CAUSES	Seizures	11916319	C0043047	inch	C0036572	sosy	37046902	64010814	1	1
