pmid	stype	text	concept_id
11914417	d	alacrima	C536009
12497758	d	alacrima	C536009
12793312	d	alacrima	C536009
12530689	d	alacrima	C536009
7758515	d	alacrima	C536009
2854735	d	alacrima	C536009
10714761	d	alacrima	C536009
15233895	d	alacrima	C536009
18175081	d	alacrima	C536009
11131343	d	alacrima	C536009
18426811	d	alacrima	C536009
16197535	d	alacrima	C536009
1064191	d	alacrima	C536009
1537368	d	alacrima	C536009
18615337	d	alacrima	C536009
19172509	d	alacrima	C536009
12429595	d	alacrima	C536009
22269647	d	alacrima	C536009
12700313	d	alacrima	C536009
3565479	d	alacrima	C536009
23956580	d	alacrima	C536009
1659963	d	alacrima	C536009
20931227	d	alacrima	C536009
10426592	d	alacrima	C536009
22538409	d	alacrima	C536009
19782045	d	alacrima	C536009
16528113	d	alacrima	C536009
18551317	d	alacrima	C536009
24139699	d	alacrima	C536009
17880786	d	alacrima	C536009
12150219	d	alacrima	C536009
15257005	d	alacrima	C536009
6342189	d	alacrima	C536009
15680696	d	alacrima	C536009
16789645	d	alacrima	C536009
8253654	d	alacrima	C536009
16543750	d	alacrima	C536009
12008750	d	alacrima	C536009
21626165	d	alacrima	C536009
25554662	d	alacrima	C536009
7895750	d	alacrima	C536009
8006362	d	alacrima	C536009
16361769	d	alacrima	C536009
24834210	d	alacrima	C536009
11807674	d	alacrima	C536009
19078797	d	alacrima	C536009
16937455	d	alacrima	C536009
23073554	d	alacrima	C536009
8968764	d	alacrima	C536009
16460812	d	alacrima	C536009
21686524	d	alacrima	C536009
10698592	d	alacrima	C536009
15666842	d	alacrima	C536009
3652558	d	alacrima	C536009
7356788	d	alacrima	C536009
15843079	d	alacrima	C536009
20447614	d	alacrima	C536009
22000320	d	alacrima	C536009
21565631	d	alacrima	C536009
7608277	d	alacrima	C536009
16609705	d	alacrima	C536009
10342602	d	alacrima	C536009
16264411	d	alacrima	C536009
11084394	d	alacrima	C536009
16098009	d	alacrima	C536009
15516781	d	alacrima	C536009
22584989	d	alacrima	C536009
20499090	d	alacrima	C536009
21744492	d	alacrima	C536009
10235590	d	alacrima	C536009
11159947	d	alacrima	C536009
11196451	d	alacrima	C536009
9285947	d	alacrima	C536009
17911039	d	alacrima	C536009
23056690	d	alacrima	C536009
12185357	d	alacrima	C536009
20200814	d	alacrima	C536009
8740696	d	alacrima	C536009
23861206	d	alacrima	C536009
8924656	d	alacrima	C536009
24651605	d	alacrima	C536009
21656342	d	alacrima	C536009
1619769	d	alacrima	C536009
23076455	d	alacrima	C536009
16885810	d	alacrima	C536009
24035193	d	alacrima	C536009
9621534	d	neurogenic bladder	D001750
9621534	g	gastroesophageal reflux	59330
9621534	g	GER	59330
11907967	c	Cortisol	D006854
15690314	c	Cortisol	D006854
1850671	c	Cortisol	D006854
7758515	c	Cortisol	D006854
10714360	c	Cortisol	D006854
18426811	c	Cortisol	D006854
22269647	c	Cortisol	D006854
18551317	c	Cortisol	D006854
23565431	c	Cortisol	D006854
23825130	c	Cortisol	D006854
17595484	c	Cortisol	D006854
9544638	c	Cortisol	D006854
15013475	c	Cortisol	D006854
11907967	c	hydrocortisone	D006854
25554662	c	hydrocortisone	D006854
11807674	c	hydrocortisone	D006854
11907967	d	Triple A syndrome	C536008
11353896	d	Triple A syndrome	C536008
16970037	d	Triple A syndrome	C536008
19172511	d	Triple A syndrome	C536008
7945119	d	Triple A syndrome	C536008
11914417	d	Triple A syndrome	C536008
12497758	d	Triple A syndrome	C536008
12793312	d	Triple A syndrome	C536008
12530689	d	Triple A syndrome	C536008
7758515	d	Triple A syndrome	C536008
10714761	d	Triple A syndrome	C536008
10714360	d	Triple A syndrome	C536008
11131343	d	Triple A syndrome	C536008
17853339	d	Triple A syndrome	C536008
18426811	d	Triple A syndrome	C536008
14646395	d	Triple A syndrome	C536008
18615337	d	Triple A syndrome	C536008
12429595	d	Triple A syndrome	C536008
22269647	d	Triple A syndrome	C536008
23956580	d	Triple A syndrome	C536008
17180297	d	Triple A syndrome	C536008
1659963	d	Triple A syndrome	C536008
20931227	d	Triple A syndrome	C536008
22538409	d	Triple A syndrome	C536008
19782045	d	Triple A syndrome	C536008
3014426	d	Triple A syndrome	C536008
18551317	d	Triple A syndrome	C536008
17880786	d	Triple A syndrome	C536008
15680696	d	Triple A syndrome	C536008
9758716	d	Triple A syndrome	C536008
18628786	d	Triple A syndrome	C536008
16543750	d	Triple A syndrome	C536008
23327820	d	Triple A syndrome	C536008
12008750	d	Triple A syndrome	C536008
18172684	d	Triple A syndrome	C536008
20588230	d	Triple A syndrome	C536008
21626165	d	Triple A syndrome	C536008
25554662	d	Triple A syndrome	C536008
19855093	d	Triple A syndrome	C536008
16361769	d	Triple A syndrome	C536008
24834210	d	Triple A syndrome	C536008
23073554	d	Triple A syndrome	C536008
8968764	d	Triple A syndrome	C536008
20374727	d	Triple A syndrome	C536008
21686524	d	Triple A syndrome	C536008
10698592	d	Triple A syndrome	C536008
15666842	d	Triple A syndrome	C536008
12548737	d	Triple A syndrome	C536008
22000320	d	Triple A syndrome	C536008
7608277	d	Triple A syndrome	C536008
25781531	d	Triple A syndrome	C536008
16609705	d	Triple A syndrome	C536008
11084394	d	Triple A syndrome	C536008
16098009	d	Triple A syndrome	C536008
15516781	d	Triple A syndrome	C536008
23825130	d	Triple A syndrome	C536008
19322026	d	Triple A syndrome	C536008
20499090	d	Triple A syndrome	C536008
21744492	d	Triple A syndrome	C536008
10235590	d	Triple A syndrome	C536008
11159947	d	Triple A syndrome	C536008
11196451	d	Triple A syndrome	C536008
20706703	d	Triple A syndrome	C536008
17911039	d	Triple A syndrome	C536008
17595484	d	Triple A syndrome	C536008
20051279	d	Triple A syndrome	C536008
20200814	d	Triple A syndrome	C536008
23861206	d	Triple A syndrome	C536008
16885810	d	Triple A syndrome	C536008
24035193	d	Triple A syndrome	C536008
20674935	d	Triple A syndrome	C536008
16479006	d	Triple A syndrome	C536008
11907967	d	autosomal recessive disease	D020734
19172511	d	autosomal recessive disease	D020734
16197535	d	autosomal recessive disease	D020734
18551317	d	autosomal recessive disease	D020734
23327820	d	autosomal recessive disease	D020734
8968764	d	autosomal recessive disease	D020734
16264411	d	autosomal recessive disease	D020734
23861206	d	autosomal recessive disease	D020734
16885810	d	autosomal recessive disease	D020734
11907967	d	glucocorticoid deficiency	202200
1850671	d	glucocorticoid deficiency	202200
8333772	d	glucocorticoid deficiency	202200
3652558	d	glucocorticoid deficiency	202200
8924656	d	glucocorticoid deficiency	202200
11907967	d	familial adrenal insufficiency	D000309
8006362	d	familial adrenal insufficiency	D000309
21565631	d	familial adrenal insufficiency	D000309
11907967	d	hyperpigmentation	D017495
10714360	d	hyperpigmentation	D017495
23956580	d	hyperpigmentation	D017495
25554662	d	hyperpigmentation	D017495
11907967	d	mucosal erosive lesions	D052016
11907967	d	hypoglycemia	D007003
15690314	d	hypoglycemia	D007003
10714360	d	hypoglycemia	D007003
10484808	d	hypoglycemia	D007003
24499211	d	hypoglycemia	D007003
9821413	d	hypoglycemia	D007003
11745038	d	hypoglycemia	D007003
10571010	d	hypoglycemia	D007003
24063868	d	hypoglycemia	D007003
24997537	d	hypoglycemia	D007003
18156285	d	hypoglycemia	D007003
19411227	d	hypoglycemia	D007003
10586187	d	hypoglycemia	D007003
17179930	d	hypoglycemia	D007003
24292530	d	hypoglycemia	D007003
7116620	d	hypoglycemia	D007003
19211097	d	hypoglycemia	D007003
11907967	d	adrenal gland hypoplasia	D000307
11907967	d	plantar hyperkeratosis	C536306
11907967	d	achalasia of the cardia	D004931
11914417	d	achalasia of the cardia	D004931
12793312	d	achalasia of the cardia	D004931
1537368	d	achalasia of the cardia	D004931
1659963	d	achalasia of the cardia	D004931
8333772	d	achalasia of the cardia	D004931
12008750	d	achalasia of the cardia	D004931
23073554	d	achalasia of the cardia	D004931
12717251	d	achalasia of the cardia	D004931
11196451	d	achalasia of the cardia	D004931
4075537	d	achalasia of the cardia	D004931
9544638	d	achalasia of the cardia	D004931
11907967	d	plantar keratoderma	D016523
11907967	d	neurological abnormalities	D009422
12793312	d	neurological abnormalities	D009422
18175081	d	neurological abnormalities	D009422
11131343	d	neurological abnormalities	D009422
12429595	d	neurological abnormalities	D009422
3565479	d	neurological abnormalities	D009422
1659963	d	neurological abnormalities	D009422
16938764	d	neurological abnormalities	D009422
12150219	d	neurological abnormalities	D009422
8333772	d	neurological abnormalities	D009422
7895750	d	neurological abnormalities	D009422
25781531	d	neurological abnormalities	D009422
9285947	d	neurological abnormalities	D009422
20051279	d	neurological abnormalities	D009422
20200814	d	neurological abnormalities	D009422
16885810	d	neurological abnormalities	D009422
11907967	g	ACTH	5443
11353896	g	ACTH	5443
15690314	g	ACTH	5443
1850671	g	ACTH	5443
10068747	g	ACTH	5443
7945119	g	ACTH	5443
12793312	g	ACTH	5443
11062474	g	ACTH	5443
12530689	g	ACTH	5443
7758515	g	ACTH	5443
10714360	g	ACTH	5443
18426811	g	ACTH	5443
16197535	g	ACTH	5443
12700313	g	ACTH	5443
1659963	g	ACTH	5443
3014426	g	ACTH	5443
18551317	g	ACTH	5443
24139699	g	ACTH	5443
17880786	g	ACTH	5443
8253654	g	ACTH	5443
23565431	g	ACTH	5443
25554662	g	ACTH	5443
19855093	g	ACTH	5443
4075537	g	ACTH	5443
16937455	g	ACTH	5443
23073554	g	ACTH	5443
8968764	g	ACTH	5443
20374727	g	ACTH	5443
10698592	g	ACTH	5443
15666842	g	ACTH	5443
1325164	g	ACTH	5443
11084394	g	ACTH	5443
20499090	g	ACTH	5443
11196451	g	ACTH	5443
20051279	g	ACTH	5443
20200814	g	ACTH	5443
16885810	g	ACTH	5443
11353896	d	autosomal recessive genetic defects	D020022
11353896	d	Familial glucocorticoid deficiency	202200
18426811	d	Familial glucocorticoid deficiency	202200
1537368	d	Familial glucocorticoid deficiency	202200
11701718	d	Familial glucocorticoid deficiency	202200
20374727	d	Familial glucocorticoid deficiency	202200
10698592	d	Familial glucocorticoid deficiency	202200
11084394	d	Familial glucocorticoid deficiency	202200
10235590	d	Familial glucocorticoid deficiency	202200
11353896	d	neurological defects	D009422
11353896	g	ACTH receptor	4158
1850671	g	ACTH receptor	4158
7758515	g	ACTH receptor	4158
10714360	g	ACTH receptor	4158
18426811	g	ACTH receptor	4158
9758716	g	ACTH receptor	4158
11701718	g	ACTH receptor	4158
10698592	g	ACTH receptor	4158
7608277	g	ACTH receptor	4158
11084394	g	ACTH receptor	4158
15690314	c	glucose	D005947
15545299	c	glucose	D005947
19768653	c	glucose	D005947
15013475	c	glucose	D005947
10484808	c	glucose	D005947
24909690	c	glucose	D005947
24499211	c	glucose	D005947
11159919	c	glucose	D005947
21737679	c	glucose	D005947
18720094	c	glucose	D005947
12434892	c	glucose	D005947
9881752	c	glucose	D005947
14681228	c	glucose	D005947
21240668	c	glucose	D005947
12480927	c	glucose	D005947
24997537	c	glucose	D005947
18156285	c	glucose	D005947
19411227	c	glucose	D005947
9669722	c	glucose	D005947
15665075	c	glucose	D005947
21385794	c	glucose	D005947
8617881	c	glucose	D005947
12561056	c	glucose	D005947
11339805	c	glucose	D005947
21494549	c	glucose	D005947
19647786	c	glucose	D005947
16601221	c	glucose	D005947
19028792	c	glucose	D005947
18230953	c	glucose	D005947
16970929	c	glucose	D005947
23536797	c	glucose	D005947
17403669	c	glucose	D005947
16445715	c	glucose	D005947
1996646	c	glucose	D005947
15249677	c	glucose	D005947
20936705	c	glucose	D005947
25326312	c	glucose	D005947
25663381	c	glucose	D005947
21391816	c	glucose	D005947
24788674	c	glucose	D005947
23835259	c	glucose	D005947
15892570	c	glucose	D005947
20676904	c	glucose	D005947
25336656	c	glucose	D005947
17453143	c	glucose	D005947
18579727	c	glucose	D005947
22223164	c	glucose	D005947
21177787	c	glucose	D005947
23173958	c	glucose	D005947
23370284	c	glucose	D005947
23820623	c	glucose	D005947
21513696	c	glucose	D005947
21266191	c	glucose	D005947
23608659	c	glucose	D005947
17395740	c	glucose	D005947
22329651	c	glucose	D005947
22191795	c	glucose	D005947
20013185	c	glucose	D005947
16788740	c	glucose	D005947
21424847	c	glucose	D005947
19583945	c	glucose	D005947
23123197	c	glucose	D005947
17274531	c	glucose	D005947
18983914	c	glucose	D005947
2174007	c	glucose	D005947
6670278	c	glucose	D005947
3384185	c	glucose	D005947
1397717	c	glucose	D005947
24115865	c	glucose	D005947
3409987	c	glucose	D005947
7116620	c	glucose	D005947
3587991	c	glucose	D005947
9587665	c	glucose	D005947
12626383	c	glucose	D005947
19232506	c	glucose	D005947
16936110	c	glucose	D005947
14680989	c	glucose	D005947
10606583	c	glucose	D005947
15690314	d	adrenal insufficiency	D000309
16970037	d	adrenal insufficiency	D000309
10068747	d	adrenal insufficiency	D000309
11914417	d	adrenal insufficiency	D000309
12793312	d	adrenal insufficiency	D000309
11062474	d	adrenal insufficiency	D000309
12530689	d	adrenal insufficiency	D000309
7758515	d	adrenal insufficiency	D000309
10714761	d	adrenal insufficiency	D000309
10714360	d	adrenal insufficiency	D000309
18175081	d	adrenal insufficiency	D000309
11131343	d	adrenal insufficiency	D000309
17853339	d	adrenal insufficiency	D000309
18426811	d	adrenal insufficiency	D000309
16197535	d	adrenal insufficiency	D000309
24668180	d	adrenal insufficiency	D000309
14646395	d	adrenal insufficiency	D000309
18615337	d	adrenal insufficiency	D000309
22269647	d	adrenal insufficiency	D000309
12700313	d	adrenal insufficiency	D000309
23956580	d	adrenal insufficiency	D000309
17180297	d	adrenal insufficiency	D000309
20931227	d	adrenal insufficiency	D000309
22538409	d	adrenal insufficiency	D000309
16938764	d	adrenal insufficiency	D000309
19782045	d	adrenal insufficiency	D000309
16528113	d	adrenal insufficiency	D000309
18551317	d	adrenal insufficiency	D000309
24139699	d	adrenal insufficiency	D000309
17880786	d	adrenal insufficiency	D000309
12150219	d	adrenal insufficiency	D000309
8333772	d	adrenal insufficiency	D000309
9758716	d	adrenal insufficiency	D000309
18628786	d	adrenal insufficiency	D000309
16789645	d	adrenal insufficiency	D000309
8253654	d	adrenal insufficiency	D000309
16543750	d	adrenal insufficiency	D000309
15217518	d	adrenal insufficiency	D000309
12008750	d	adrenal insufficiency	D000309
18172684	d	adrenal insufficiency	D000309
20588230	d	adrenal insufficiency	D000309
25554662	d	adrenal insufficiency	D000309
8006362	d	adrenal insufficiency	D000309
11807674	d	adrenal insufficiency	D000309
19078797	d	adrenal insufficiency	D000309
23073554	d	adrenal insufficiency	D000309
8968764	d	adrenal insufficiency	D000309
20374727	d	adrenal insufficiency	D000309
10698592	d	adrenal insufficiency	D000309
3652558	d	adrenal insufficiency	D000309
12548737	d	adrenal insufficiency	D000309
25781531	d	adrenal insufficiency	D000309
16609705	d	adrenal insufficiency	D000309
11084394	d	adrenal insufficiency	D000309
16098009	d	adrenal insufficiency	D000309
15516781	d	adrenal insufficiency	D000309
22584989	d	adrenal insufficiency	D000309
20499090	d	adrenal insufficiency	D000309
11159947	d	adrenal insufficiency	D000309
11196451	d	adrenal insufficiency	D000309
9285947	d	adrenal insufficiency	D000309
20706703	d	adrenal insufficiency	D000309
17911039	d	adrenal insufficiency	D000309
17595484	d	adrenal insufficiency	D000309
23056690	d	adrenal insufficiency	D000309
20051279	d	adrenal insufficiency	D000309
20200814	d	adrenal insufficiency	D000309
23861206	d	adrenal insufficiency	D000309
8924656	d	adrenal insufficiency	D000309
21656342	d	adrenal insufficiency	D000309
23076455	d	adrenal insufficiency	D000309
16885810	d	adrenal insufficiency	D000309
24035193	d	adrenal insufficiency	D000309
20674935	d	adrenal insufficiency	D000309
15680696	d	adrenal insufficiency	D000309
15843079	d	adrenal insufficiency	D000309
12752575	d	adrenal insufficiency	D000309
16479006	d	adrenal insufficiency	D000309
15690314	d	Allgrove syndrome	C536008
1850671	d	Allgrove syndrome	C536008
16970037	d	Allgrove syndrome	C536008
19172511	d	Allgrove syndrome	C536008
12497758	d	Allgrove syndrome	C536008
11062474	d	Allgrove syndrome	C536008
18175081	d	Allgrove syndrome	C536008
18426811	d	Allgrove syndrome	C536008
24668180	d	Allgrove syndrome	C536008
23956580	d	Allgrove syndrome	C536008
22538409	d	Allgrove syndrome	C536008
16938764	d	Allgrove syndrome	C536008
24139699	d	Allgrove syndrome	C536008
17880786	d	Allgrove syndrome	C536008
12150219	d	Allgrove syndrome	C536008
15217518	d	Allgrove syndrome	C536008
11701718	d	Allgrove syndrome	C536008
12008750	d	Allgrove syndrome	C536008
25554662	d	Allgrove syndrome	C536008
16361769	d	Allgrove syndrome	C536008
24834210	d	Allgrove syndrome	C536008
19078797	d	Allgrove syndrome	C536008
8757578	d	Allgrove syndrome	C536008
15843079	d	Allgrove syndrome	C536008
21565631	d	Allgrove syndrome	C536008
25781531	d	Allgrove syndrome	C536008
10342602	d	Allgrove syndrome	C536008
16264411	d	Allgrove syndrome	C536008
15516781	d	Allgrove syndrome	C536008
22584989	d	Allgrove syndrome	C536008
11196451	d	Allgrove syndrome	C536008
9285947	d	Allgrove syndrome	C536008
17595484	d	Allgrove syndrome	C536008
23056690	d	Allgrove syndrome	C536008
20051279	d	Allgrove syndrome	C536008
20200814	d	Allgrove syndrome	C536008
8924656	d	Allgrove syndrome	C536008
21656342	d	Allgrove syndrome	C536008
16885810	d	Allgrove syndrome	C536008
12752575	d	Allgrove syndrome	C536008
15690314	d	genetic disorder	D020022
24668180	d	genetic disorder	D020022
19322026	d	genetic disorder	D020022
15690314	d	AAAS	C536008
16970037	d	AAAS	C536008
19172511	d	AAAS	C536008
11914417	d	AAAS	C536008
12497758	d	AAAS	C536008
12530689	d	AAAS	C536008
18426811	d	AAAS	C536008
14646395	d	AAAS	C536008
18615337	d	AAAS	C536008
22269647	d	AAAS	C536008
20931227	d	AAAS	C536008
22538409	d	AAAS	C536008
16938764	d	AAAS	C536008
18551317	d	AAAS	C536008
17880786	d	AAAS	C536008
15680696	d	AAAS	C536008
18628786	d	AAAS	C536008
16789645	d	AAAS	C536008
16543750	d	AAAS	C536008
15217518	d	AAAS	C536008
11701718	d	AAAS	C536008
23327820	d	AAAS	C536008
12008750	d	AAAS	C536008
18172684	d	AAAS	C536008
21626165	d	AAAS	C536008
19855093	d	AAAS	C536008
16937455	d	AAAS	C536008
23073554	d	AAAS	C536008
21686524	d	AAAS	C536008
12548737	d	AAAS	C536008
15843079	d	AAAS	C536008
22000320	d	AAAS	C536008
21565631	d	AAAS	C536008
25781531	d	AAAS	C536008
16609705	d	AAAS	C536008
12717251	d	AAAS	C536008
16264411	d	AAAS	C536008
16098009	d	AAAS	C536008
15516781	d	AAAS	C536008
22584989	d	AAAS	C536008
23825130	d	AAAS	C536008
19322026	d	AAAS	C536008
20499090	d	AAAS	C536008
21744492	d	AAAS	C536008
17911039	d	AAAS	C536008
20051279	d	AAAS	C536008
20200814	d	AAAS	C536008
17853339	d	AAAS	C536008
12752575	d	AAAS	C536008
23056690	d	AAAS	C536008
15690314	d	alacrima / achalasia	C536009
20374727	d	alacrima / achalasia	C536009
15690314	d	neurologic disorder	D009422
20374727	d	neurologic disorder	D009422
15892570	d	neurologic disorder	D009422
15690314	g	ALADIN	8086
12497758	g	ALADIN	8086
11062474	g	ALADIN	8086
18175081	g	ALADIN	8086
12429595	g	ALADIN	8086
22538409	g	ALADIN	8086
19782045	g	ALADIN	8086
17880786	g	ALADIN	8086
18628786	g	ALADIN	8086
12008750	g	ALADIN	8086
18172684	g	ALADIN	8086
25554662	g	ALADIN	8086
19855093	g	ALADIN	8086
19078797	g	ALADIN	8086
23073554	g	ALADIN	8086
20374727	g	ALADIN	8086
15666842	g	ALADIN	8086
15843079	g	ALADIN	8086
16609705	g	ALADIN	8086
12717251	g	ALADIN	8086
23825130	g	ALADIN	8086
19322026	g	ALADIN	8086
20499090	g	ALADIN	8086
20200814	g	ALADIN	8086
23861206	g	ALADIN	8086
21656342	g	ALADIN	8086
15690314	g	AAAS	8086
16970037	g	AAAS	8086
19172511	g	AAAS	8086
11914417	g	AAAS	8086
12497758	g	AAAS	8086
11062474	g	AAAS	8086
12530689	g	AAAS	8086
17853339	g	AAAS	8086
18426811	g	AAAS	8086
14646395	g	AAAS	8086
18615337	g	AAAS	8086
22269647	g	AAAS	8086
12700313	g	AAAS	8086
20931227	g	AAAS	8086
22538409	g	AAAS	8086
16938764	g	AAAS	8086
18551317	g	AAAS	8086
17880786	g	AAAS	8086
18628786	g	AAAS	8086
16789645	g	AAAS	8086
16543750	g	AAAS	8086
15217518	g	AAAS	8086
11701718	g	AAAS	8086
23327820	g	AAAS	8086
12008750	g	AAAS	8086
18172684	g	AAAS	8086
21626165	g	AAAS	8086
19855093	g	AAAS	8086
23073554	g	AAAS	8086
21686524	g	AAAS	8086
15666842	g	AAAS	8086
12548737	g	AAAS	8086
22000320	g	AAAS	8086
21565631	g	AAAS	8086
25781531	g	AAAS	8086
16609705	g	AAAS	8086
12717251	g	AAAS	8086
16264411	g	AAAS	8086
16098009	g	AAAS	8086
15516781	g	AAAS	8086
22584989	g	AAAS	8086
23825130	g	AAAS	8086
20499090	g	AAAS	8086
21744492	g	AAAS	8086
11159947	g	AAAS	8086
17911039	g	AAAS	8086
23056690	g	AAAS	8086
20051279	g	AAAS	8086
20200814	g	AAAS	8086
16885810	g	AAAS	8086
15690314	g	achalasia / adrenal insufficiency / neurologic disorder	8086
15690314	g	Insulin	3630
1850671	c	adenylate	16027
1850671	d	autosomal recessive syndrome of ACTH insensitivity , achalasia	D004931
1850671	d	isolated glucocorticoid deficiency	202200
10714360	d	isolated glucocorticoid deficiency	202200
12008750	d	isolated glucocorticoid deficiency	202200
7608277	d	isolated glucocorticoid deficiency	202200
25781531	d	isolated glucocorticoid deficiency	202200
1850671	d	cortisol deficiency	C535280
1850671	d	cortisol deficient	C535280
1850671	d	glucocorticoid insufficiency of this syndrome	202200
1850671	d	mineralocorticoid deficiency	D000312
7758515	d	mineralocorticoid deficiency	D000312
10714360	d	mineralocorticoid deficiency	D000312
8253654	d	mineralocorticoid deficiency	D000312
7608277	d	mineralocorticoid deficiency	D000312
1850671	d	peripheral or autonomic neuropathy	D010523
1850671	d	oesophageal dysmotility	D015154
1850671	d	dysphagia	D003680
10068747	d	dysphagia	D003680
2854735	d	dysphagia	D003680
18175081	d	dysphagia	D003680
17853339	d	dysphagia	D003680
16197535	d	dysphagia	D003680
12700313	d	dysphagia	D003680
17180297	d	dysphagia	D003680
24139699	d	dysphagia	D003680
15516781	d	dysphagia	D003680
23012188	d	dysphagia	D003680
21602994	d	dysphagia	D003680
8834259	d	dysphagia	D003680
16970037	d	autosomal recessive disorder	D025063
11914417	d	autosomal recessive disorder	D025063
12497758	d	autosomal recessive disorder	D025063
12530689	d	autosomal recessive disorder	D025063
18175081	d	autosomal recessive disorder	D025063
17180297	d	autosomal recessive disorder	D025063
19782045	d	autosomal recessive disorder	D025063
24139699	d	autosomal recessive disorder	D025063
17880786	d	autosomal recessive disorder	D025063
12150219	d	autosomal recessive disorder	D025063
15217518	d	autosomal recessive disorder	D025063
12008750	d	autosomal recessive disorder	D025063
18172684	d	autosomal recessive disorder	D025063
19855093	d	autosomal recessive disorder	D025063
16361769	d	autosomal recessive disorder	D025063
19078797	d	autosomal recessive disorder	D025063
16937455	d	autosomal recessive disorder	D025063
15666842	d	autosomal recessive disorder	D025063
12548737	d	autosomal recessive disorder	D025063
21565631	d	autosomal recessive disorder	D025063
7608277	d	autosomal recessive disorder	D025063
25781531	d	autosomal recessive disorder	D025063
12717251	d	autosomal recessive disorder	D025063
15516781	d	autosomal recessive disorder	D025063
22584989	d	autosomal recessive disorder	D025063
20499090	d	autosomal recessive disorder	D025063
11159947	d	autosomal recessive disorder	D025063
17911039	d	autosomal recessive disorder	D025063
17595484	d	autosomal recessive disorder	D025063
20051279	d	autosomal recessive disorder	D025063
20200814	d	autosomal recessive disorder	D025063
24651605	d	autosomal recessive disorder	D025063
16970037	d	neurological dysfunctions / deficits	D009461
16970037	d	muscular atrophy	D009133
18615337	d	muscular atrophy	D009133
